"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-12","7.83",,,,"56","68","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-13","11.41",,,,"61","73","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-14","10.07",,,,"59","63","54",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-15","8.28",,,,"53","59","47",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-16","11.18",,,,"60","73","47",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-17","13.20",,,,"48","56","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-18","8.72",,,,"53","66","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-19","7.16",,,,"50","53","47",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-20","4.92",,,,"54","67","41",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-21","5.14",,,,"55","64","46",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-22","8.50",,,,"58","69","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-23","5.14",,,,"57","72","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-24","10.51",,,,"61","74","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-25","6.49",,,,"51","62","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-26","11.41",,,,"46","52","39",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-27","10.07",,,,"46","57","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-28","5.82",,,,"47","60","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-29","6.04",,,,"51","63","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-30","6.93",,,,"58","65","50",,,,,,,,,,,,,,"    1",,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-01","7.38",,,,"61","66","56",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-02","4.70",,,,"64","71","57",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-03","6.26",,,,"62","69","55",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-04","6.71",,,,"60","67","53",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-05","7.16",,,,"62","70","53",,,,,,,"    1","    1",,,,,,"    1",,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-06","7.16",,,,"66","79","52",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-07","9.40",,,,"67","76","57",,,,,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-08","10.51",,,,"65","71","59",,,,,,,,,,,,,,"    1",,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-09","9.62",,,,"65","75","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-10","8.72",,,,"61","71","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-11","9.17",,,,"61","66","56",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-12","7.83",,,,"62","68","56",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-13","8.95",,,,"68","80","56",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-14","4.70",,,,"71","85","56",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-15","6.49",,,,"75","89","61",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-16","10.74",,,,"78","85","71",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-17","6.71",,,,"74","86","61",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-18","8.05",,,,"78","90","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-19","9.40",,,,"80","91","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-20","10.07",,,,"75","88","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-21","10.29",,,,"61","73","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-22","8.28",,,,"56","67","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-23","7.61",,,,"59","74","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-24","7.83",,,,"59","68","49",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-25","6.26",,,,"60","63","57",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
